,shop_name,STREET,LOCALITY,REGION,POSTAL_CODE
69,Artisano Bakery Café Ltd,"214 King St W, ","Toronto, ","ON, ",M5H 3S6
70,Athens Pastries & Cafe,"1681 Lake Shore Blvd E, ","Toronto, ","ON, ",M4L 3W6
71,Atrium Cafe,"267 Richmond St W, ","Toronto, ","ON, ",M5V 1W9
72,Aunt's Elsie Carribean Kitchen,"2689 Eglinton Ave E, ","Scarborough, ","ON, ",M1K 2S2
73,Ave Maria Latin Cafe,"631 Bloor St W, ","Toronto, ","ON, ",M6G 1K8
74,Avellino Social Club,"3041 Islington Ave, ","North York, ","ON, ",M9L 2K9
75,Avenue Diner,"222 Davenport Rd, ","Toronto, ","ON, ",M5R 1J6
76,Average Joe's Cafe,"161 Baldwin St, ","Toronto, ","ON, ",M5T 1L9
77,Awash Cafe,"1230 Danforth Ave, ","Toronto, ","ON, ",M4J 1M6
78,Aziza Cafe,"962 College St, ","Toronto, ","ON, ",M6H 1A5
79,B Espresso Bar,"111 Queen St E, ","Toronto, ","ON, ",M5C 1S2
80,B Expresso Bar,"273 Bloor St W, ","Toronto, ","ON, ",M5S 1W2
81,Backyards Coffee And Community,"2579 Credit Valley Rd, ","Mississauga, ","ON, ",L5M 4K7
82,Bagel Time Montreal Style,"582 Danforth Ave, ","Toronto, ","ON, ",M4K 1R1
83,Bagelstix,"5 King St E, ","Toronto, ","ON, ",M5C 3C6
84,Baker's Dozen Donuts,"2733 Danforth Ave, ","Toronto, ","ON, ",M4C 1L8
85,Baker's Dozen Donuts,"751 King St W, ","Toronto, ","ON, ",M5V 1N4
86,Baker's Dozen Donuts,"1044 Finch Ave W, ","North York, ","ON, ",M3J 2E2
87,Baker's Dozen Donuts,"3200 Dufferin St, ","North York, ","ON, ",M6A 3B2
88,Baker's Dozen Donuts Shop 125,"3157 Dundas St W, ","Toronto, ","ON, ",M6P 2A2
89,Bakes & Goods,"2523 Yonge St, ","Toronto, ","ON, ",M4P 2H9
90,Baltica Café,"620 Wilson Ave, ","North York, ","ON, ",M3K 1Z3
91,Balzacs Coffee,"789 Yonge St, ","Toronto, ","ON, ",M4W 2G8
92,Balzacs Coffee,"122 Bond St, ","Toronto, ","ON, ",M5B 1X8
93,Balzac's Coffee Ltd,"20 York St, ","Toronto, ","ON, ",M5J 2Z1
94,Balzacs Coffee Ltd,"10 Market St, ","Toronto, ","ON, ",M5E 1M6
95,Balzac's Powerhouse,"31 Powerhouse St, ","Toronto, ","ON, ",M6H 4K7
96,Bar Ape Gelato,"283 Rushton Rd, ","Toronto, ","ON, ",M6C 2X6
97,Bar Curva Nord,"772 Wilson Ave, ","North York, ","ON, ",M3K 1E2
98,Bar Moderno,"868A The Queensway, ","Etobicoke, ","ON, ",M8Z 1N7
99,Baretto Caffe,"1262 Don Mills Rd, ","North York, ","ON, ",M3B 2W7
100,Baroli Caffe,"220 Yonge St, ","Toronto, ","ON, ",M5B 2H1
101,Bayview Cake & Pastry,"4-10066 Bayview Ave, ","Richmond Hill, ","ON, ",L4C 0W5
102,BB Cafe & Pastry Boutique,"6095 Yonge St, ","North York, ","ON, ",M2M 3W2
103,BD APD Inc,"200 Wellington W, ","Toronto, ","ON, ",M5V 3C7
104,Beaver Cafe,"1192 Queen St W, ","Toronto, ","ON, ",M6J 1J6
105,Beaver Foods-Roasters,"250 Bloor St E, ","Toronto, ","ON, ",M4W 1E6
106,Behesht Café,"10165 Yonge St, ","Richmond Hill, ","ON, ",L4C 1T5
107,Belfountain General Store,"758 Bush St, ","Belfountain, ","ON, ",L7K 0E5
108,Bellair Coffee Plus,"1240 Bay St, ","Toronto, ","ON, ",M5R 2A7
109,Bellais Coffee Plus,"1240 Bay St, ","Toronto, ","ON, ",M5R 2A7
110,Bella's Cafe And Pastry,"460 Rogers Rd, ","York, ","ON, ",M6M 1A9
111,Bellwoods Coffee And Gelato,"1006 Dundas St W, ","Toronto, ","ON, ",M6J 1W6
112,Bennito,"1710 Victoria Park Ave, ","North York, ","ON, ",M1R 1R6
113,Bernate Foods Ltd,"148 Beaconsfield Ave, ","Toronto, ","ON, ",M6J 3J6
114,Best Coffee,"20 Dufflaw Rd, ","North York, ","ON, ",M6A 2W1
115,Bicerin Coffee Syndigrow Incorporation,"37 Baldwin St, ","Toronto, ","ON, ",M5T 1L1
116,Big Guy's Little Coffee Shop,"2861 Lake Shore Blvd W, ","Etobicoke, ","ON, ",M8V 1H8
117,Bill V Coffee Shop,"1300 Yonge St, ","Toronto, ","ON, ",M4T 1X3
118,Bill-Maur Coffee Shop,"Ontario Food Terminal, ","Etobicoke, ","ON, ",M8Y 1H8
119,Birchmount Cafe,"462 Birchmount Rd, ","Scarborough, ","ON, ",M1K 1N8
120,Bisogno Espresso Bar,"61 Sherbourne St, ","Toronto, ","ON, ",M5A 2P8
121,Bite Me Foods,"31 O'Hara Ave, ","Toronto, ","ON, ",M6K 2P9
122,Blablabla Coffee,"741 Queen St E, ","Toronto, ","ON, ",M4M 1H3
123,Black Bear Espresso,"25C Carlton St, ","Toronto, ","ON, ",M5B 1L4
124,Black Camel,"4 Crescent Rd, ","Toronto, ","ON, ",M4W 1S9
125,Black Cat Espresso Bar,"1104 College St, ","Toronto, ","ON, ",M6H 1B3
126,Black Goat Cafe,"3261 Lake Shore Blvd W, ","Etobicoke, ","ON, ",M8V 1M2
127,Blue Dogg Ltd,"437 Jarvis St, ","Toronto, ","ON, ",M4Y 2H1
128,Blue Moon Restaurant & Cafe,"1054 Lillian St, ","Toronto, ","ON, ",M2M 3G4
129,Bluestone Lane Downtown Coffee Shop,"37 King St. East, ","Toronto, ","ON, ",M5C 1E9
130,Bluestone Lane Queen Station Coffee Shop,"2 Queen Street East, ","Toronto, ","ON, ",M5C 3G5
131,Bob Coffee Bar,"440 Christie St, ","Toronto, ","ON, ",M6G 3C6
